# frequency value
0.000000000000000000e+00 0.000000000000000000e+00
1.250000000000000000e-01 1.806345579862357942e-35
2.500000000000000000e-01 5.697212388899378949e-37
3.750000000000000000e-01 7.571477842166081146e-38
5.000000000000000000e-01 1.813113706961625117e-38
6.250000000000000000e-01 5.994833091370733006e-39
7.500000000000000000e-01 2.430734645294214985e-39
8.750000000000000000e-01 1.134580612832475055e-39
1.000000000000000000e+00 5.870470961854210095e-40
1.125000000000000000e+00 3.286046498010805108e-40
1.250000000000000000e+00 1.957114135387105956e-40
1.375000000000000000e+00 1.225602473125032985e-40
1.500000000000000000e+00 7.999653659479740615e-41
1.625000000000000000e+00 5.406210197245589952e-41
1.750000000000000000e+00 3.763311286941223985e-41
1.875000000000000000e+00 2.687345191473496121e-41
2.000000000000000000e+00 1.962088058266299087e-41
2.125000000000000000e+00 1.460770903499701967e-41
2.250000000000000000e+00 1.106477453311006063e-41
2.375000000000000000e+00 8.511104963325709016e-42
2.500000000000000000e+00 6.637793133072148476e-42
2.625000000000000000e+00 5.241652675965152848e-42
2.750000000000000000e+00 4.186142473677986236e-42
2.875000000000000000e+00 3.377714859262636220e-42
3.000000000000000000e+00 2.751142912083695893e-42
3.125000000000000000e+00 2.260212780037097040e-42
3.250000000000000000e+00 1.871698206896016846e-42
3.375000000000000000e+00 1.561386739955627911e-42
3.500000000000000000e+00 1.311413960632419071e-42
3.625000000000000000e+00 1.108446877558929976e-42
3.750000000000000000e+00 9.424278838368252552e-43
3.875000000000000000e+00 8.056945319456154111e-43
4.000000000000000000e+00 6.923549101957262884e-43
4.125000000000000000e+00 5.978391972714133623e-43
4.250000000000000000e+00 5.185741739405175249e-43
4.375000000000000000e+00 4.517445545481477800e-43
4.500000000000000000e+00 3.951162952875974264e-43
4.625000000000000000e+00 3.469046013193263011e-43
4.750000000000000000e+00 3.056744844124176134e-43
4.875000000000000000e+00 2.702652412805146896e-43
5.000000000000000000e+00 2.397326625329480965e-43
5.125000000000000000e+00 2.133044913231947174e-43
5.250000000000000000e+00 1.903458597835511929e-43
5.375000000000000000e+00 1.703322944306060030e-43
5.500000000000000000e+00 1.528285032645767940e-43
5.625000000000000000e+00 1.374716085861502089e-43
5.750000000000000000e+00 1.239578198300099951e-43
5.875000000000000000e+00 1.120317842352105974e-43
6.000000000000000000e+00 1.014780340122647019e-43
6.125000000000000000e+00 9.211408387637162944e-44
6.250000000000000000e+00 8.378483456872972422e-44
6.375000000000000000e+00 7.635801503988850030e-44
6.500000000000000000e+00 6.972045466507420384e-44
6.625000000000000000e+00 6.377502183013976208e-44
6.750000000000000000e+00 5.843809986764346243e-44
6.875000000000000000e+00 5.363749814806380524e-44
7.000000000000000000e+00 4.931071700960066872e-44
7.125000000000000000e+00 4.540350153885257236e-44
7.250000000000000000e+00 4.186863204504201000e-44
7.375000000000000000e+00 3.866490919734096016e-44
7.500000000000000000e+00 3.575629982257888846e-44
7.625000000000000000e+00 3.311121575094302834e-44
7.750000000000000000e+00 3.070190320472262939e-44
7.875000000000000000e+00 2.850392432316011854e-44
8.000000000000000000e+00 2.649571571693482122e-44
8.125000000000000000e+00 2.465821161360823876e-44
8.250000000000000000e+00 2.297452131937115952e-44
8.375000000000000000e+00 2.142965248376038099e-44
8.500000000000000000e+00 2.001027309232263958e-44
8.625000000000000000e+00 1.870450629047996001e-44
8.750000000000000000e+00 1.750175311009880113e-44
8.875000000000000000e+00 1.639253896830735051e-44
9.000000000000000000e+00 1.536838046777772031e-44
9.125000000000000000e+00 1.442166957452536099e-44
9.250000000000000000e+00 1.354557270381969026e-44
9.375000000000000000e+00 1.273394262363357967e-44
9.500000000000000000e+00 1.198124140161098021e-44
9.625000000000000000e+00 1.128247288670814071e-44
9.750000000000000000e+00 1.063312343934634012e-44
9.875000000000000000e+00 1.002910981135700966e-44
1.000000000000000000e+01 9.466733235147851258e-45
1.012500000000000000e+01 8.942638915248505675e-45
1.025000000000000000e+01 8.453780228727545845e-45
1.037500000000000000e+01 7.997387037223674398e-45
1.050000000000000000e+01 7.570937595250302498e-45
1.062500000000000000e+01 7.172133609289136439e-45
1.075000000000000000e+01 6.798878061880447145e-45
1.087500000000000000e+01 6.449255466021852147e-45
1.100000000000000000e+01 6.121514259022600709e-45
1.112500000000000000e+01 5.814051082629567334e-45
1.125000000000000000e+01 5.525396728670226180e-45
1.137500000000000000e+01 5.254203557424583802e-45
1.150000000000000000e+01 4.999234220098448271e-45
1.162500000000000000e+01 4.759351537676692303e-45
1.175000000000000000e+01 4.533509406556594754e-45
1.187500000000000000e+01 4.320744617092655727e-45
1.200000000000000000e+01 4.120169484863565263e-45
1.212500000000000000e+01 3.930965206383988155e-45
